"","LIVER, MALE2","TransferredDose_SOBP_F4"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"89.70","6.54352"
"89.80","6.53743"
"89.90","6.53145"
"90.00","6.52511"
"90.10","6.51915"
"90.20","6.51297"
"90.30","6.507"
"90.40","6.501"
"90.50","6.49462"
"90.60","6.48822"
"90.70","6.48196"
"90.80","6.4757"
"90.90","6.46961"
"91.00","6.46323"
"91.10","6.4566"
"91.20","6.45027"
"91.30","6.44413"
"91.40","6.43726"
"91.50","6.43046"
"91.60","6.42384"
"91.70","6.41705"
"91.80","6.4104"
"91.90","6.4038"
"92.00","6.39712"
"92.10","6.39019"
"92.20","6.3834"
"92.30","6.3765"
"92.40","6.36954"
"92.50","6.3624"
"92.60","6.35554"
"92.70","6.34847"
"92.80","6.34164"
"92.90","6.33426"
"93.00","6.32701"
"93.10","6.31969"
"93.20","6.31271"
"93.30","6.30564"
"93.40","6.29814"
"93.50","6.29074"
"93.60","6.28345"
"93.70","6.27611"
"93.80","6.26883"
"93.90","6.26118"
"94.00","6.25336"
"94.10","6.24563"
"94.20","6.23755"
"94.30","6.22954"
"94.40","6.22125"
"94.50","6.21338"
"94.60","6.20545"
"94.70","6.19736"
"94.80","6.18907"
"94.90","6.18097"
"95.00","6.17236"
"95.10","6.16385"
"95.20","6.15515"
"95.30","6.14632"
"95.40","6.13771"
"95.50","6.12886"
"95.60","6.11968"
"95.70","6.1105"
"95.80","6.10162"
"95.90","6.09218"
"96.00","6.08252"
"96.10","6.073"
"96.20","6.06334"
"96.30","6.05334"
"96.40","6.0432"
"96.50","6.03305"
"96.60","6.02307"
"96.70","6.01248"
"96.80","6.00216"
"96.90","5.99129"
"97.00","5.98043"
"97.10","5.96947"
"97.20","5.95796"
"97.30","5.94639"
"97.40","5.93487"
"97.50","5.92294"
"97.60","5.91094"
"97.70","5.89861"
"97.80","5.88626"
"97.90","5.87362"
"98.00","5.86085"
"98.10","5.84734"
"98.20","5.83359"
"98.30","5.81912"
"98.40","5.80402"
"98.50","5.78899"
"98.60","5.77286"
"98.70","5.75652"
"98.80","5.74012"
"98.90","5.72248"
"99.00","5.70431"
"99.10","5.68515"
"99.20","5.66528"
"99.30","5.64481"
"99.40","5.62243"
"99.50","5.5998"
"99.60","5.57568"
"99.70","5.54902"
"99.80","5.52078"
"99.90","5.49135"
"100.00","5.46018"
"100.10","5.4273"
"100.20","5.39208"
"100.30","5.35492"
"100.40","5.31418"
"100.50","5.2688"
"100.60","5.21809"
"100.70","5.15987"
"100.80","5.0907"
"100.90","5.00883"
"101.00","4.916"
"101.10","4.81354"
"101.20","4.69621"
"101.30","4.5715"
"101.40","4.43559"
"101.50","4.28938"
"101.60","4.13362"
"101.70","3.97362"
"101.80","3.81394"
"101.90","3.64352"
"102.00","3.46945"
"102.10","3.28794"
"102.20","3.1122"
"102.30","2.94394"
"102.40","2.77846"
"102.50","2.61931"
"102.60","2.46172"
"102.70","2.3091"
"102.80","2.16707"
"102.90","2.02584"
"103.00","1.89021"
"103.10","1.76094"
"103.20","1.63351"
"103.30","1.51013"
"103.40","1.38639"
"103.50","1.26315"
"103.60","1.12984"
"103.70","0.99776"
"103.80","0.86863"
"103.90","0.75586"
"104.00","0.65188"
"104.10","0.55762"
"104.20","0.46551"
"104.30","0.38165"
"104.40","0.30301"
"104.50","0.23832"
"104.60","0.17939"
"104.70","0.12932"
"104.80","0.09059"
"104.90","0.06024"
"105.00","0.03791"
"105.10","0.02258"
"105.20","0.01234"
"105.30","0.00584"
"105.40","0.00364"
"105.50","0.00231"
"105.60","0.00129"
"105.70","4.6E-4"
"105.80","0.0"
